File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
bcf20505-0c31-4139-97d4-5b09a67a5866	TCGA-FG-7636-01A-01-BS1.c2f235f1-63ac-484f-a572-3c0281d5e1be.svs	Biospecimen	Slide Image	TCGA-LGG	TCGA-FG-7636	TCGA-FG-7636-01A	Primary Tumor
88c21990-8a5f-46b2-83ba-b684cef3cb59	TCGA-HW-8319-01A-01-TS1.28af9da1-978d-42dd-ba7e-fe1bdeb2c740.svs	Biospecimen	Slide Image	TCGA-LGG	TCGA-HW-8319	TCGA-HW-8319-01A	Primary Tumor
716fdab5-c817-48b3-9ce1-bc8438971bd7	TCGA-HT-7616-01A-01-TS1.57288bec-bb45-4dfb-ba5a-57559ee17a60.svs	Biospecimen	Slide Image	TCGA-LGG	TCGA-HT-7616	TCGA-HT-7616-01A	Primary Tumor
d43ef537-6cd0-446a-9bf0-fe0767ed6bcf	TCGA-R8-A6YH-01A-02-TS2.AD2BC93E-924F-46FC-A411-2B3780543C55.svs	Biospecimen	Slide Image	TCGA-LGG	TCGA-R8-A6YH	TCGA-R8-A6YH-01A	Primary Tumor
72337f2a-a600-4e7b-838a-070cd87bea93	TCGA-DU-5854-01A-01-TS1.762a553a-81b6-4cd7-8ee5-fab933a5500c.svs	Biospecimen	Slide Image	TCGA-LGG	TCGA-DU-5854	TCGA-DU-5854-01A	Primary Tumor
cc8a7006-ffb8-492d-bf98-3585f4323699	TCGA-DU-7306-01A-01-TS1.50c6d018-a9c9-49d8-b058-43ef28214fa6.svs	Biospecimen	Slide Image	TCGA-LGG	TCGA-DU-7306	TCGA-DU-7306-01A	Primary Tumor
de408673-c773-4ff6-9639-b947d277309e	TCGA-HT-7469-01A-01-BS1.b792888a-361b-4a81-a7ba-f57f29f7b504.svs	Biospecimen	Slide Image	TCGA-LGG	TCGA-HT-7469	TCGA-HT-7469-01A	Primary Tumor
24c95514-0ee3-4f1a-83a8-ef69f7911859	TCGA-WY-A858-01A-01-TS1.38DD32BF-1DE0-4FAD-AD0A-9D30D427C9C2.svs	Biospecimen	Slide Image	TCGA-LGG	TCGA-WY-A858	TCGA-WY-A858-01A	Primary Tumor
fbb11658-8c0a-445c-93ee-0f86ef9be1a7	TCGA-FG-A6IZ-01A-01-TS1.0609DB24-3F98-4B1F-B675-DC0B94C08BCF.svs	Biospecimen	Slide Image	TCGA-LGG	TCGA-FG-A6IZ	TCGA-FG-A6IZ-01A	Primary Tumor
45222477-6fdc-4824-9d29-94fcc0de2148	TCGA-HT-A61B-01A-01-TSA.1C988789-7077-4B3B-B8D6-A33B055093DB.svs	Biospecimen	Slide Image	TCGA-LGG	TCGA-HT-A61B	TCGA-HT-A61B-01A	Primary Tumor
