id	filename	md5	size	state
6c402b0f-52f3-427c-bb3c-6e697062b3bc	9e8dc4b8-e6f7-4a8f-a8aa-61ad5b9bfc06.methylation_array.sesame.level3betas.txt	3b84fc3780186a5046cf95fbc0241dac	13123076	released
db8006b0-3eeb-4408-bc61-357015169816	25eb1cc5-cda7-4692-81ea-4e876042531d.methylation_array.sesame.level3betas.txt	eedd9f6f82205aec449a09d0518fb913	13165479	released
70aade5f-187e-4500-87df-f9996424de7d	241648ce-443d-440e-8dee-f1d497306c99.methylation_array.sesame.level3betas.txt	7807f2b60e47b17935224bf38bbd43cb	13175071	released
0e528a4b-b052-4eeb-81df-67bbb7081300	20c27e08-0308-4ac0-a7e6-65b0ab0cbdee.methylation_array.sesame.level3betas.txt	da039a434a8cd64234479a2a651d590a	13131457	released
20322683-b95c-4e44-aff4-3b25114c9635	5dfa6a92-df63-4909-9f75-b930dd6fd70f.methylation_array.sesame.level3betas.txt	1fb3c1c9a4efb0fadbe3b6147d7fbea8	13068201	released
baa5cded-bcce-4355-8179-faa164273669	fa787d21-0c93-4823-aa4c-45a94a020b0b.methylation_array.sesame.level3betas.txt	e4b9d711800cbc51f70c119088e14e61	13079426	released
a754cf15-3da9-4eb8-acf5-5e3aafdf64ee	c087c018-5bd2-4e2c-94c9-738298bec59a.methylation_array.sesame.level3betas.txt	cd5d370854abe4c2c92d6175563e5f55	13161472	released
dc4a02bc-9638-490c-afe2-d019b7a20feb	49450ecf-8214-425b-a0b6-bd9de0c8808a.methylation_array.sesame.level3betas.txt	cc02803c10d76a13c74e728c580976b9	13078887	released
48e5fb3f-e0e9-4a4a-a63c-b2172ab87890	367f91cc-dc44-46e0-b3b1-ef972721415e.methylation_array.sesame.level3betas.txt	5f3f43edbc1f932998823f6587b2dc3e	13181758	released
30fc02b3-ee37-44df-b54d-4dfa5f624d06	66bc8735-8e2f-4745-a40b-e00ced127d86.methylation_array.sesame.level3betas.txt	8cdcfc8e1443256ded012eff172e9775	13175562	released
e63333b0-a0d8-4060-b487-ca2b19f862b3	4cb87cc4-03c6-4919-86a7-3d1e0242788c.methylation_array.sesame.level3betas.txt	fbc1e8fc471496c0e107b273cea4b2bf	13134827	released
6acb3959-acdc-42fd-a2f3-f67642028123	df70262c-254b-49a1-a6a2-8cecebfc3b3b.methylation_array.sesame.level3betas.txt	a27405bfba995e32949fa66d9ae09804	13120659	released
