id	filename	md5	size	state
b3d9bda8-2b6e-4ca5-aee4-46e2635d28d0	TCGA-BRCA.25822371-680d-4663-98ef-ebf79e6dff4d.absolute_liftover.gene_level_copy_number.v36.tsv	556040a8623ee22f1e8f5edeba4a2eff	3431711	released
c9cdadd6-7029-404c-96f5-6e045e13ba43	TCGA-BRCA.32d3f1cd-077f-43bf-843e-1fe9f0ec0cba.absolute_liftover.gene_level_copy_number.v36.tsv	43f3a6a39b489540128dcc470f44698f	3430682	released
0db8bc63-096d-4323-a28c-519e9aede456	TCGA-BRCA.6a4af154-27d5-4a5d-9d88-1f4db2dc70d8.absolute_liftover.gene_level_copy_number.v36.tsv	18a13095aef30eaf91684874f28fcfe6	3429722	released
704637fb-caef-4f65-acca-b1c99e751cfc	TCGA-BRCA.38971878-2e49-4de3-be7c-e1ce5f1317b6.absolute_liftover.gene_level_copy_number.v36.tsv	b449ed494daf10db0c82618026fae53b	3429749	released
e039033c-6c92-44fa-a147-d8a4640851f6	TCGA-BRCA.c07a21d6-9aad-41c8-b3fc-ff846239c1fc.absolute_liftover.gene_level_copy_number.v36.tsv	c03946eae6b56dca81484fcbfc8584e6	3431894	released
de8eea70-fbb8-4a6f-8ec1-984c2f81e914	TCGA-BRCA.5cc785cc-8845-4b90-95eb-097896412250.absolute_liftover.gene_level_copy_number.v36.tsv	76285214e706a3ad90c443b4ef8d78ad	3429338	released
86105e99-3c86-482d-9b01-f450db1821d1	TCGA-BRCA.faaa02ff-b4f1-4f4d-be66-1254bd2c7403.absolute_liftover.gene_level_copy_number.v36.tsv	38e3bef096a9f4c91c38e73114e849ae	3433157	released
fc28383f-0da5-44f1-a9d3-307c2ebb2b50	TCGA-BRCA.2036be70-c64b-4ef4-82c6-822c5afae946.absolute_liftover.gene_level_copy_number.v36.tsv	d1eec4e2eac0c09c059458fba9f920ac	3431609	released
144d41c4-b29f-4f8a-a49a-b9a1f13a2f52	TCGA-BRCA.f4e002a0-1f2f-4ffd-bff9-8020c931d51b.absolute_liftover.gene_level_copy_number.v36.tsv	a2d80bf10430ae7c5811b39ea568de10	3432449	released
d45c4e60-dbc5-44f1-841c-d193be8730be	TCGA-BRCA.62f32fa7-690a-4896-980a-831208a3c6ae.absolute_liftover.gene_level_copy_number.v36.tsv	126878a857c3c263a665e7d81380b0f5	3437054	released
b5513f78-7e2d-408f-8106-5bb6643ea36a	TCGA-BRCA.fb2d1af2-81a7-4eb7-8a49-e6448c76e44e.absolute_liftover.gene_level_copy_number.v36.tsv	0736565cd66be7684e6c5f2cd9117787	3432515	released
977aceb7-8903-49ab-ae23-285f2292f8bd	TCGA-BRCA.7cb2d031-fc42-48ac-b6f0-88fe60245c2e.absolute_liftover.gene_level_copy_number.v36.tsv	51666594f98c79bc5829bb52698d8bea	3433067	released
091abdcb-a3a7-4f9a-a751-9e6589a6cd41	TCGA-BRCA.ebef101a-cc11-448a-b8a6-b5e0c6f0f998.absolute_liftover.gene_level_copy_number.v36.tsv	519d51e2c180b151f3f51f515ac113b1	3432656	released
2645a66b-7576-4284-8f48-fe8da96ebaf2	TCGA-BRCA.27145418-15bb-49d6-bc77-80194079b46d.absolute_liftover.gene_level_copy_number.v36.tsv	dd4ca4acff32e87697079d576b5ba67f	3433157	released
f87bef10-5650-44f3-a177-fe2c8147c69e	TCGA-BRCA.5cfd5649-03c6-4919-b469-522684b6ceef.absolute_liftover.gene_level_copy_number.v36.tsv	b1cd479199a01b7d8be1286efaff103d	3433373	released
d3b5f83d-2aff-4689-93d6-da30878254e2	TCGA-BRCA.a3f4ad97-3d59-4568-84e8-674280b1f04a.absolute_liftover.gene_level_copy_number.v36.tsv	f164492f41e7e8289f5a464ee09f6b7c	3430517	released
a008a9dc-d1d0-41a5-bcfe-b3088feeae66	TCGA-BRCA.2f506a7d-668f-4b51-87b5-74b260663de6.absolute_liftover.gene_level_copy_number.v36.tsv	08d82572aa4a55f95374ef8b5fff8129	3430847	released
742febc8-76bf-4727-8141-9e28dceca3f2	TCGA-BRCA.51c041dc-88a3-4619-82f3-29995e05c5db.absolute_liftover.gene_level_copy_number.v36.tsv	6a4a3ba1488aefbb53e6d2ce5104d49e	3436538	released
97796496-6c2e-4fab-862b-d429d494bfd5	TCGA-BRCA.2dedc4aa-78bc-48c6-b280-c0b56e56beca.absolute_liftover.gene_level_copy_number.v36.tsv	831d8f61f3e7db6c38e412fb85ca1cb0	3431855	released
049dccb1-2d19-493e-93e8-77d3bb58af45	TCGA-BRCA.eaf26eaa-106e-46e3-9963-c6185c6ec4d7.absolute_liftover.gene_level_copy_number.v36.tsv	2aaf8f22a5b0cf37e909519713bd097b	3430019	released
c190014d-6825-42e0-8fb4-084391464ca9	TCGA-BRCA.064b8a58-45eb-4abe-8627-5b4a8c69e6c7.absolute_liftover.gene_level_copy_number.v36.tsv	57772a54d7b9a36753566a22f0213df2	3431921	released
77006c5f-1f6b-481b-be5e-080bf87a49d6	TCGA-BRCA.c642e766-98e7-4ea8-907a-8390e7425df2.absolute_liftover.gene_level_copy_number.v36.tsv	564ebbc45bbdce679b06df5f92dc27e7	3431993	released
fa891ebd-08f3-43de-8183-b8aff4155471	TCGA-BRCA.0efe66fb-f938-47f8-8f5e-25f519faa2fc.absolute_liftover.gene_level_copy_number.v36.tsv	ca01df177d5273531d84881e48311160	3429272	released
d09be7b1-90cb-4624-9b94-0ccb3ade32bb	TCGA-BRCA.92864651-156a-44ab-a442-f17567476e0f.absolute_liftover.gene_level_copy_number.v36.tsv	b983f0d0057c45051816317432ec6d67	3431882	released
