File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
2303a5c3-a773-4c67-959f-6a8d97a04644	TCGA-A8-A079-01A-02-BS2.af4b2721-1e8c-4b61-b03f-1a50c2366832.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A8-A079	TCGA-A8-A079-01A	Primary Tumor
3cd7a8d7-620e-4403-8589-d5d44ecb4534	TCGA-A8-A079-01A-02-MS2.62d794d5-a44b-493b-be71-30f31bc80b9e.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A8-A079	TCGA-A8-A079-01A	Primary Tumor
4da32130-0cd1-469e-be6d-d01aa81be72e	TCGA-A2-A0D0-01A-01-BSA.de3699b8-cd5b-4bac-af17-b63d447c55e7.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A0D0	TCGA-A2-A0D0-01A	Primary Tumor
a75a6129-f07d-41cc-84a1-0cb22bdbc589	TCGA-BH-A0BC-01A-02-BSB.a89fb037-eac3-4424-8811-e668088b1481.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0BC	TCGA-BH-A0BC-01A	Primary Tumor
65613803-689a-4904-8f4f-d2c387874a1c	TCGA-E2-A150-01A-01-TSA.c32feae0-434d-4e04-9cfa-5b0d89547711.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-E2-A150	TCGA-E2-A150-01A	Primary Tumor
04bfa2da-7d5d-4d58-aba8-577ceef8512f	TCGA-BH-A0BA-11A-02-BSB.a6ac638b-ffe0-46a8-b8de-388c3b325cfb.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0BA	TCGA-BH-A0BA-11A	Solid Tissue Normal
ead50ed1-7a32-4f11-ad68-742bfd0a47b1	TCGA-BH-A0BA-01A-01-TSA.9c9b5e0c-5e89-4dbc-be76-36aaca93c648.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-BH-A0BA	TCGA-BH-A0BA-01A	Primary Tumor
f8b2651d-1aee-4540-b875-19e687ff947b	TCGA-A2-A0D3-01A-01-BSA.a92d21bb-df83-4a6d-87d4-4558f0b8172f.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A2-A0D3	TCGA-A2-A0D3-01A	Primary Tumor
3d4fadd6-0f3b-44d4-80c1-34af4a0c6bd7	TCGA-A8-A0A6-01A-01-TS1.0544eda9-a392-4eed-961d-9a0683b54b5d.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-A8-A0A6	TCGA-A8-A0A6-01A	Primary Tumor
797a20d0-b9fc-4f51-ae1a-4862a95c2244	TCGA-C8-A132-01A-03-TSC.439f1ea4-e2c2-40b7-ad17-0845119b7e8a.svs	Biospecimen	Slide Image	TCGA-BRCA	TCGA-C8-A132	TCGA-C8-A132-01A	Primary Tumor
